SearchQuery,October,November,December,January,February,March,April,May,June,July,August,September,Keyword,FieldSpecific,MeSH,Branches,PubDate,Explode,AND,OR,NOT,Set
PMML001,2463875,2473797,2481432,2489423,2499184,2507109,2519526,2527791,2538251,2548273,2557974,2568696,1,0,0,0,0,0,0,0,0,set1
PQML001,2475724,2485490,2493262,2499152,2500504,2517011,2530187,2534720,2548651,2557152,2566638,2575741,1,0,0,0,0,0,0,0,0,set1
EHML001,2474206,2484396,2488385,2498651,2508806,2511573,2533530,2541406,2549678,2557602,2566615,2578130,1,0,0,0,0,0,0,0,0,set1
WSML001,2471152,2480301,2489705,2497189,2507894,2515319,2527571,2535780,2545094,2556789,2567024,2578011,1,0,0,0,0,0,0,0,0,set1
OML001,2460695,2471800,2476629,2485581,2497047,2504746,2517076,2523501,2535182,2544153,2555490,2563975,1,0,0,0,0,0,0,0,0,set1
PMML002,389955,391392,392547,393917,395436,396678,398634,400102,401923,403669,405183,406960,0,0,1,1,0,0,0,0,0,set2
PQML002,389674,391085,392243,393192,393367,395934,398030,398851,401215,402657,404187,405607,0,0,1,1,0,0,0,0,0,set2
EHML002,389410,390856,391446,393059,394665,395105,398502,399875,401332,402666,404110,405960,0,0,1,1,0,0,0,0,0,set2
WSML002,389120,390415,391829,393062,394762,395865,397766,399187,400814,402841,404479,406222,0,0,1,1,0,0,0,0,0,set2
OML002,389537,391082,391848,393294,395058,396302,398245,399367,401385,402987,404831,406088,0,0,1,1,0,0,0,0,0,set2
PMML003,2251033,2251062,2251103,2251109,2251128,2251126,2251180,2251196,2251209,2251211,2251213,2251226,1,0,0,0,1,0,1,0,0,set3
PQML003,2238698,2238716,2238755,2238759,2238652,2238661,2238695,2238698,2238828,2238830,2238832,2238844,1,0,0,0,1,0,1,0,0,set3
EHML003,2238997,2239016,2239018,2239061,2239080,2239082,2239078,2239097,2239102,2239104,2239107,2239118,1,0,0,0,1,0,1,0,0,set3
WSML003,2238118,2238148,2238188,2238195,2238213,2238226,2238255,2238282,2238285,2238290,2238294,2238306,1,0,0,0,1,0,1,0,0,set3
OML003,2232480,2232502,2232502,2232595,2232526,2232524,2232551,2232557,2232557,2232557,2232560,2232253,1,0,0,0,1,0,1,0,0,set3
PMML004,349598,349601,349602,349602,349604,349604,349608,349612,349615,349615,349615,349618,0,0,1,1,1,0,1,0,0,set4
PQML004,347192,347192,347193,347193,347185,347184,347190,347190,347199,347199,347199,347201,0,0,1,1,1,0,1,0,0,set4
EHML004,347205,347205,347205,347206,347207,347207,347211,347213,347212,347212,347212,347213,0,0,1,1,1,0,1,0,0,set4
WSML004,347183,347183,347184,347184,347187,347187,347190,347193,347193,347192,347192,347194,0,0,1,1,1,0,1,0,0,set4
OML004,347195,347195,347195,347211,347187,347187,347190,347191,347191,347191,347192,347141,0,0,1,1,1,0,1,0,0,set4
PMML005,15004,15005,15005,15005,15006,15006,15006,15006,15005,15005,15005,15005,1,0,1,1,1,0,2,0,0,set5
PQML005,15011,15011,15013,15005,15007,15013,15014,15014,15014,15014,15014,15014,1,0,1,1,1,0,2,0,0,set5
EHML005,15088,15088,15090,15082,15082,15079,15089,15091,15090,15090,15090,15090,1,0,1,1,1,0,2,0,0,set5
WSML005,14711,14711,14711,14711,14712,14712,14712,14712,14712,14712,14712,14712,1,0,1,1,1,0,2,0,0,set5
OML005,14830,14830,14830,14831,14830,14830,14830,14830,14830,14830,14830,14828,1,0,1,1,1,0,2,0,0,set5
PMML006,41444,41444,41444,41447,41452,41452,41454,41455,41455,41455,41455,41455,0,0,1,2,1,0,1,0,0,set6
PQML006,40861,40861,40861,40861,40860,40864,40865,40865,40866,40866,40866,40866,0,0,1,2,1,0,1,0,0,set6
EHML006,40862,40862,40862,40862,40866,40866,40867,40867,40867,40867,40867,40867,0,0,1,2,1,0,1,0,0,set6
WSML006,40860,40860,40860,40860,40864,40864,40865,40865,40865,40865,40865,40865,0,0,1,2,1,0,1,0,0,set6
OML006,40861,40861,40861,40864,40864,40864,40865,40865,40865,40865,40865,40851,0,0,1,2,1,0,1,0,0,set6
PMML007,172,172,172,172,172,172,172,172,172,172,172,172,1,0,1,2,1,0,2,0,0,set7
PQML007,184,184,184,184,184,183,184,184,184,184,184,184,1,0,1,2,1,0,2,0,0,set7
EHML007,184,184,184,184,184,184,184,184,184,184,184,184,1,0,1,2,1,0,2,0,0,set7
WSML007,169,169,169,169,169,169,169,169,169,169,169,169,1,0,1,2,1,0,2,0,0,set7
OML007,171,171,171,171,171,171,171,171,171,171,171,171,1,0,1,2,1,0,2,0,0,set7
PMML008,2838188,2838230,2838274,2838282,2838303,2838311,2838376,2838372,2838389,2838392,2838394,2838407,0,0,1,1,1,1,1,0,0,set8
PQML008,2818093,2818120,2818157,2818157,2818028,2818042,2818080,2818083,2818225,2818225,2818227,2818239,0,0,1,1,1,1,1,0,0,set8
EHML008,2816030,2816057,2816057,2816094,2816107,2816107,2816150,2816138,2816136,2816136,2818138,2816149,0,0,1,1,1,1,1,0,0,set8
WSML008,347183,347183,347184,347184,347187,347187,347190,347193,347193,347192,347192,347194,0,0,1,1,1,1,1,0,0,set8
OML008,2815975,2816007,2816007,2816112,2816025,2816024,2816054,2816061,2816043,2816043,2816046,2815674,0,0,1,1,1,1,1,0,0,set8
PMML009,72297,72300,72300,72300,72301,72301,72301,72303,72301,72301,72301,72301,1,0,1,1,1,1,2,0,0,set9
PQML009,72641,72642,72644,72619,72623,72644,72644,72644,72646,72646,72646,72646,1,0,1,1,1,1,2,0,0,set9
EHML009,72987,72988,72990,72965,72958,72941,72976,72992,72990,72990,72990,72990,1,0,1,1,1,1,2,0,0,set9
WSML009,14711,14711,14711,14711,14712,14712,14712,14712,14712,14712,14712,14712,1,0,1,1,1,1,2,0,0,set9
OML009,71594,71594,71594,71596,71593,71593,71593,71593,71593,71593,71592,71572,1,0,1,1,1,1,2,0,0,set9
PMML010,134217,134219,134219,134223,134251,134251,134255,134258,134259,134259,134259,134259,0,0,1,2,1,1,1,0,0,set10
PQML010,132593,132594,132594,132594,132590,132596,132599,132599,132603,132603,132603,132603,0,0,1,2,1,1,1,0,0,set10
EHML010,132599,132600,132600,132600,132605,132605,132608,132609,132609,132609,132609,132609,0,0,1,2,1,1,1,0,0,set10
WSML010,132590,132591,132591,132591,132596,132596,132598,132599,132599,132599,132599,132599,0,0,1,2,1,1,1,0,0,set10
OML010,132593,132595,132595,132602,132596,132596,132598,132598,132599,132599,132599,132555,0,0,1,2,1,1,1,0,0,set10
PMML011,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,1,0,1,2,1,1,2,0,0,set11
PQML011,2534,2534,2534,2529,2530,2534,2534,2534,2534,2534,2534,2534,1,0,1,2,1,1,2,0,0,set11
EHML011,2546,2546,2546,2541,2540,2540,2546,2546,2546,2546,2546,2546,1,0,1,2,1,1,2,0,0,set11
WSML011,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,1,0,1,2,1,1,2,0,0,set11
OML011,2160,2160,2160,2160,2159,2159,2159,2159,2159,2159,2159,2157,1,0,1,2,1,1,2,0,0,set11
PMML012,36503,36560,36596,36634,36679,36721,36787,36837,36893,36943,36988,37050,0,0,2,2,0,2,0,0,1,set12
PQML012,36497,36551,36588,36615,36626,36701,36768,36796,36873,36917,36964,37016,0,0,2,2,0,2,0,0,1,set12
EHML012,36475,36531,36549,36597,36641,36664,36781,36831,36873,36910,36957,37017,0,0,2,2,0,2,0,0,1,set12
WSML012,36475,36528,36573,36604,36656,36697,36755,36807,36858,36917,36968,37029,0,0,2,2,0,2,0,0,1,set12
OML012,36483,36541,36572,36622,36664,36714,36776,36811,36878,36918,36983,37029,0,0,2,2,0,2,0,0,1,set12
PMML013,377,379,380,382,384,386,389,392,393,396,397,403,0,1,2,2,0,2,1,0,1,set13
PQML013,377,379,380,382,382,385,388,389,393,396,397,401,0,1,2,2,0,2,1,0,1,set13
EHML013,377,379,379,382,383,385,389,392,393,394,395,401,0,1,2,2,0,2,1,0,1,set13
WSML013,375,378,379,381,383,385,388,391,392,395,396,402,0,1,2,2,0,2,1,0,1,set13
OML013,377,378,379,382,383,386,389,390,393,394,397,403,0,1,2,2,0,2,1,0,1,set13
PMML014,1054,1060,1065,1071,1075,1080,1091,1102,1106,1117,1119,1125,0,2,2,2,0,2,1,0,2,set14
PQML014,1115,1122,1128,1131,1132,1144,1158,1164,1178,1189,1195,1199,0,2,2,2,0,2,1,0,2,set14
EHML014,1113,1120,1122,1129,1137,1141,1160,1171,1177,1186,1189,1203,0,2,2,2,0,2,1,0,2,set14
WSML014,1244,1249,1255,1260,1265,1271,1281,1290,1297,1306,1311,1317,0,2,2,2,0,2,1,0,2,set14
OML014,1119,1126,1130,1137,1145,1152,1166,1172,1184,1191,1201,1209,0,2,2,2,0,2,1,0,2,set14
PMML015,35080,35137,35173,35211,35256,35298,35364,35414,35470,35519,35564,35625,0,1,2,2,0,2,0,0,2,set15
PQML015,35074,35128,35165,35192,35203,35278,35345,35373,35450,35493,35540,35591,0,1,2,2,0,2,0,0,2,set15
EHML015,35052,35108,35126,35174,35218,35241,35358,35408,35450,35486,35533,35592,0,1,2,2,0,2,0,0,2,set15
WSML015,35052,35105,35130,35181,35233,35274,35332,35384,35435,35493,35544,35604,0,1,2,2,0,2,0,0,2,set15
OML015,35060,35118,35149,35199,35241,35291,35353,35388,35455,35494,35559,35604,0,1,2,2,0,2,0,0,2,set15
PMML016,1423,1423,1423,1423,1423,1423,1423,1423,1423,1424,1424,1425,0,1,2,2,0,2,1,0,1,set16
PQML016,1423,1423,1423,1423,1423,1422,1423,1423,1423,1424,1424,1425,0,1,2,2,0,2,1,0,1,set16
EHML016,1423,1423,1423,1423,1423,1423,1423,1423,1423,1424,1424,1425,0,1,2,2,0,2,1,0,1,set16
WSML016,1423,1423,1423,1423,1423,1423,1423,1423,1423,1424,1424,1425,0,1,2,2,0,2,1,0,1,set16
OML016,1423,1423,1423,1423,1423,1423,1423,1423,1423,1424,1424,1425,0,1,2,2,0,2,1,0,1,set16
PMML017,41,41,41,41,41,41,41,41,41,41,41,41,0,1,2,2,0,2,1,0,1,set17
PQML017,41,41,41,41,41,41,41,41,41,41,41,41,0,1,2,2,0,2,1,0,1,set17
EHML017,41,41,41,41,41,41,41,41,41,41,41,41,0,1,2,2,0,2,1,0,1,set17
WSML017,41,41,41,41,41,41,41,41,41,41,41,41,0,1,2,2,0,2,1,0,1,set17
OML017,41,41,41,41,41,41,41,41,41,41,41,41,0,1,2,2,0,2,1,0,1,set17
PMML018,747,747,747,748,750,752,755,757,759,760,761,762,0,1,0,0,0,0,0,0,0,set18
PQML018,678,678,678,678,678,678,678,678,679,679,679,679,0,1,0,0,0,0,0,0,0,set18
EHML018,775,776,780,783,783,783,786,786,788,789,790,791,0,1,0,0,0,0,0,0,0,set18
WSML018,886,887,887,887,887,887,888,888,889,890,891,891,0,1,0,0,0,0,0,0,0,set18
OML018,745,746,746,747,748,751,753,754,758,759,760,761,0,1,0,0,0,0,0,0,0,set18
PMML019,3495,3504,3506,3509,3509,3511,3511,3513,3513,3513,3516,3519,0,2,1,1,0,0,1,1,0,set19
PQML019,3494,3502,3505,3508,3508,3511,3510,3513,3512,3512,3514,3516,0,2,1,1,0,0,1,1,0,set19
EHML019,3494,3504,3504,3509,3509,3510,3511,3513,3513,3513,3514,3519,0,2,1,1,0,0,1,1,0,set19
WSML019,3489,3498,3501,3504,3504,3506,3506,3508,3508,3508,3510,3514,0,2,1,1,0,0,1,1,0,set19
OML019,3494,3504,3504,3509,3509,3511,3511,3513,3513,3513,3514,3519,0,2,1,1,0,0,1,1,0,set19
PMML020,111,111,111,111,111,111,111,112,112,112,112,112,0,4,0,0,0,0,1,2,0,set20
PQML020,111,111,111,111,111,111,111,111,112,112,112,112,0,4,0,0,0,0,1,2,0,set20
EHML020,111,111,111,111,111,111,111,112,112,112,112,112,0,4,0,0,0,0,1,2,0,set20
WSML020,111,111,111,111,111,111,111,112,112,112,112,112,0,4,0,0,0,0,1,2,0,set20
OML020,110,110,110,110,110,110,110,110,111,111,111,111,0,4,0,0,0,0,1,2,0,set20
PMML021,16291,16307,16315,16329,16338,16348,16360,16379,16391,16400,16416,16448,1,2,0,0,0,0,1,1,0,set21
PQML021,18690,18750,18786,18799,18801,18934,18977,19061,19205,19218,19235,19455,1,2,0,0,0,0,1,1,0,set21
EHML021,16289,16305,16310,16326,16336,16341,16361,16381,16388,16395,16408,16439,1,2,0,0,0,0,1,1,0,set21
WSML021,16281,16296,16307,16319,16327,16339,16351,16371,16378,16390,16405,16436,1,2,0,0,0,0,1,1,0,set21
OML021,16289,16305,16309,16324,16336,16348,16360,16369,16387,16396,16408,16440,1,2,0,0,0,0,1,1,0,set21
PMML022,45782,45933,46123,46290,46494,46692,46926,47112,47416,47692,48020,48375,0,0,1,2,0,0,0,0,0,set22
PQML022,45748,45895,46089,46215,46217,46587,46854,46962,47265,47482,47814,48071,0,0,1,2,0,0,0,0,0,set22
EHML022,45716,45869,45965,46199,46409,46449,46904,47094,47296,47475,47770,48205,0,0,1,2,0,0,0,0,0,set22
WSML022,45678,45819,46032,46183,46413,46572,46817,47014,47234,47566,47917,48265,0,0,1,2,0,0,0,0,0,set22
OML022,45741,45912,46018,46227,46454,46621,46892,47024,47294,47582,47933,48226,0,0,1,2,0,0,0,0,0,set22
PMML023,149146,149709,150256,150821,151726,152372,153135,153751,154759,155662,156631,157587,0,0,1,2,0,1,0,0,0,set23
PQML023,152412,152982,153546,153962,154007,155454,156337,156653,157845,158598,159625,160356,0,0,1,2,0,1,0,0,0,set23
EHML023,148927,149503,149752,150490,151401,151591,153091,153675,154369,154983,155897,157133,0,0,1,2,0,1,0,0,0,set23
WSML023,148798,149320,149952,150439,151440,152018,152785,153391,154166,155250,156321,157237,0,0,1,2,0,1,0,0,0,set23
OML023,148979,149599,149916,150579,151536,152167,153009,153412,154397,155250,156417,157155,0,0,1,2,0,1,0,0,0,set23
PMML024,600,601,602,609,612,615,620,623,624,624,628,632,0,0,2,6,0,0,1,0,0,set24
PQML024,599,600,601,603,603,611,617,618,624,624,627,628,0,0,2,6,0,0,1,0,0,set24
EHML024,597,598,598,602,608,610,620,623,624,624,628,632,0,0,2,6,0,0,1,0,0,set24
WSML024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,set24
OML024,599,601,601,604,611,615,620,621,624,624,628,632,0,0,2,6,0,0,1,0,0,set24
PMML025,12680,12716,12762,12815,12911,12984,13055,13097,13169,13228,13335,13426,0,0,2,6,0,1,1,0,0,set25
PQML025,12672,12708,12755,12789,12789,12942,13028,13051,13139,13172,13280,13356,0,0,2,6,0,1,1,0,0,set25
EHML025,12661,12697,12717,12780,12886,12902,13051,13093,13140,13177,13272,13387,0,0,2,6,0,1,1,0,0,set25
WSML025,12652,12686,12736,12775,12883,12947,13021,619,620,621,625,629,0,0,2,6,0,1,1,0,0,set25
OML025,12664,12715,12735,12791,12889,12964,13048,13079,13146,13200,13305,13374,0,0,2,6,0,1,1,0,0,set25
PMML026,581,585,588,589,590,593,595,596,598,599,601,601,0,0,2,3,0,0,0,0,1,set26
PQML026,579,584,587,588,588,592,594,595,598,599,600,601,0,0,2,3,0,0,0,0,1,set26
EHML026,577,583,585,587,588,590,595,596,598,598,599,601,0,0,2,3,0,0,0,0,1,set26
WSML026,578,582,587,588,589,592,594,595,597,598,599,600,0,0,2,3,0,0,0,0,1,set26
OML026,578,585,587,589,590,593,595,596,598,599,600,601,0,0,2,3,0,0,0,0,1,set26
PMML027,9432,9502,9551,9624,9710,9794,9887,9948,10045,10140,10218,10293,0,0,2,3,0,1,0,0,1,set27
PQML027,9421,9493,9541,9595,9609,9764,9860,9889,10010,10086,10175,10229,0,0,2,3,0,1,0,0,1,set27
EHML027,9406,9477,9501,9580,9666,9696,9882,9940,10011,10069,10149,10249,0,0,2,3,0,1,0,0,1,set27
WSML027,9397,9456,9521,9586,9687,9767,9852,47014,47234,47566,47917,48265,0,0,2,3,0,1,0,0,1,set27
OML027,9411,9484,9523,9595,9692,9775,9871,9912,10019,10089,10205,10262,0,0,2,3,0,1,0,0,1,set27
PMML028,45201,45348,45535,45701,45904,46099,46331,46516,46818,47093,47419,47774,0,0,2,3,0,2,1,0,0,set28
PQML028,45169,45311,45502,45627,45629,45996,46260,46367,46667,46883,47214,47470,0,0,2,3,0,2,1,0,0,set28
EHML028,45139,45286,45380,45612,45821,45859,46309,46498,46698,46877,47171,47604,0,0,2,3,0,2,1,0,0,set28
WSML028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,0,set28
OML028,45163,45327,45431,45638,45864,46028,46297,46428,46696,46983,47333,47625,0,0,2,3,0,2,1,0,0,set28
PMML029,139714,140207,140705,141197,142016,142578,143248,143803,144714,145522,146413,147294,0,0,2,3,0,1,1,0,0,set29
PQML029,142991,143489,144005,144367,144398,145689,146477,146764,147835,148512,149450,150127,0,0,2,3,0,1,1,0,0,set29
EHML029,139521,140026,140251,140910,141735,141895,143209,143735,144358,144914,145748,146884,0,0,2,3,0,1,1,0,0,set29
WSML029,139401,139864,140431,140853,141753,142251,142933,0,0,0,0,0,0,0,2,3,0,1,1,0,0,set29
OML029,139568,140115,140393,140984,141844,142392,143138,143500,144378,145161,146212,146893,0,0,2,3,0,1,1,0,0,set29
